config_file,name,L,dtype,scheme,interp
configs/generated/L16_uint8_asymmetric_nearest_v1.yaml,L16_uint8_asymmetric_nearest_v1,16,uint8,asymmetric,nearest
configs/generated/L16_int8_symmetric_nearest_v1.yaml,L16_int8_symmetric_nearest_v1,16,int8,symmetric,nearest
configs/generated/L16_uint8_asymmetric_linear_v1.yaml,L16_uint8_asymmetric_linear_v1,16,uint8,asymmetric,linear
configs/generated/L16_int8_symmetric_linear_v1.yaml,L16_int8_symmetric_linear_v1,16,int8,symmetric,linear
configs/generated/L32_uint8_asymmetric_nearest_v1.yaml,L32_uint8_asymmetric_nearest_v1,32,uint8,asymmetric,nearest
configs/generated/L32_int8_symmetric_nearest_v1.yaml,L32_int8_symmetric_nearest_v1,32,int8,symmetric,nearest
configs/generated/L32_uint8_asymmetric_linear_v1.yaml,L32_uint8_asymmetric_linear_v1,32,uint8,asymmetric,linear
configs/generated/L32_int8_symmetric_linear_v1.yaml,L32_int8_symmetric_linear_v1,32,int8,symmetric,linear
configs/generated/L64_uint8_asymmetric_nearest_v1.yaml,L64_uint8_asymmetric_nearest_v1,64,uint8,asymmetric,nearest
configs/generated/L64_int8_symmetric_nearest_v1.yaml,L64_int8_symmetric_nearest_v1,64,int8,symmetric,nearest
configs/generated/L64_uint8_asymmetric_linear_v1.yaml,L64_uint8_asymmetric_linear_v1,64,uint8,asymmetric,linear
configs/generated/L64_int8_symmetric_linear_v1.yaml,L64_int8_symmetric_linear_v1,64,int8,symmetric,linear
configs/generated/L128_uint8_asymmetric_nearest_v1.yaml,L128_uint8_asymmetric_nearest_v1,128,uint8,asymmetric,nearest
configs/generated/L128_int8_symmetric_nearest_v1.yaml,L128_int8_symmetric_nearest_v1,128,int8,symmetric,nearest
configs/generated/L128_uint8_asymmetric_linear_v1.yaml,L128_uint8_asymmetric_linear_v1,128,uint8,asymmetric,linear
configs/generated/L128_int8_symmetric_linear_v1.yaml,L128_int8_symmetric_linear_v1,128,int8,symmetric,linear
