results_path,run_dir,exp_name,scheme,dtype,seed,value_representation,boundary_mode,interp,oob_policy_mode,L,out_mae,out_rmse,out_max_abs,in_mae,in_rmse,in_max_abs,oob_mae,oob_rmse,oob_max_abs,oob_any_frac,bspline_numpy_vs_float_max_abs,bspline_numba_vs_float_max_abs,ms_float,ms_ref,ms_bspline_numpy,ms_bspline_numba,ms_lut_numpy,ms_lut_numba,speedup_lut_numpy_vs_bspline_numpy,speedup_lut_numba_vs_bspline_numba,model_bytes,lut_bytes,lut_over_model
outputs\ncaa_r1_controlled\runs\s0_L128_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L128_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s0_L128_int8_symmetric_closed_clip_x,symmetric,int8,0,spline_component,closed,linear,clip_x,128,1.7729253158904612e-05,2.232906081189867e-05,8.752942085266113e-05,1.7729253158904612e-05,2.232906081189867e-05,8.752942085266113e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,31.23946599996998,15.411027000081958,60.45561300008558,9.86101200003759,3.7047729999176227,0.9276220000174362,16.31830425276524,10.630420580637626,6808,147900,21.724441833137487
outputs\ncaa_r1_controlled\runs\s0_L128_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L128_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s0_L128_uint8_asymmetric_closed_clip_x,asymmetric,uint8,0,spline_component,closed,linear,clip_x,128,9.746030627866276e-06,1.2346317816991359e-05,5.896762013435364e-05,9.746030627866276e-06,1.2346317816991359e-05,5.896762013435364e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,28.13936799997464,11.996389999985695,59.650182999903336,10.294155000010505,2.9030120000243187,0.8764050000172574,20.54768736725981,11.74588803099914,6808,147900,21.724441833137487
outputs\ncaa_r1_controlled\runs\s0_L16_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L16_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s0_L16_int8_symmetric_closed_clip_x,symmetric,int8,0,spline_component,closed,linear,clip_x,16,2.0267920262995176e-05,2.5559442292433232e-05,9.748339653015137e-05,2.0267920262995176e-05,2.5559442292433232e-05,9.748339653015137e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,19.662430999887874,9.485750000021653,53.389873999985866,6.993346000090241,2.511464999988675,0.6086080000386573,21.258458310279703,11.49072309211519,6808,22460,3.299059929494712
outputs\ncaa_r1_controlled\runs\s0_L16_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L16_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s0_L16_uint8_asymmetric_closed_clip_x,asymmetric,uint8,0,spline_component,closed,linear,clip_x,16,1.4033983461558819e-05,1.7792641301639378e-05,8.70823860168457e-05,1.4033983461558819e-05,1.7792641301639378e-05,8.70823860168457e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,22.650674999895273,9.478517999959877,49.20916599992779,7.658004999975674,3.0185859999619424,0.5905479998909868,16.302058646183415,12.967624987959177,6808,22460,3.299059929494712
outputs\ncaa_r1_controlled\runs\s0_L32_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L32_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s0_L32_int8_symmetric_closed_clip_x,symmetric,int8,0,spline_component,closed,linear,clip_x,32,1.7989321349887177e-05,2.2602573153562844e-05,9.298324584960938e-05,1.7989321349887177e-05,2.2602573153562844e-05,9.298324584960938e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,19.94239599996945,10.020069999882253,41.772853000002215,7.665106000058586,2.0950070000253618,0.596944999997504,19.93924268486765,12.840556500331916,6808,40380,5.931257344300823
outputs\ncaa_r1_controlled\runs\s0_L32_uint8_asymmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L32_uint8_asymmetric_closed_clip_x\run_000,ncaa_r1_s0_L32_uint8_asymmetric_closed_clip_x,asymmetric,uint8,0,spline_component,closed,linear,clip_x,32,1.0132898751180619e-05,1.2852598047174979e-05,6.183981895446777e-05,1.0132898751180619e-05,1.2852598047174979e-05,6.183981895446777e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,20.209294999949634,8.866530000086641,47.85888599988539,8.433493000047747,2.080240000068443,0.5682420000084676,23.006425219354863,14.841375681350685,6808,40380,5.931257344300823
outputs\ncaa_r1_controlled\runs\s0_L64_int8_symmetric_closed_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L64_int8_symmetric_closed_clip_x\run_000,ncaa_r1_s0_L64_int8_symmetric_closed_clip_x,symmetric,int8,0,spline_component,closed,linear,clip_x,64,1.786804205039516e-05,2.2451027689385228e-05,8.761882781982422e-05,1.786804205039516e-05,2.2451027689385228e-05,8.761882781982422e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,19.478709999966668,8.508029000076931,43.05290300006163,7.292766999889864,2.0604209999146406,0.6020669999998063,20.895197147498127,12.112882785291687,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s0_L64_int8_symmetric_closed_zero_spline\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L64_int8_symmetric_closed_zero_spline\run_000,ncaa_r1_s0_L64_int8_symmetric_closed_zero_spline,symmetric,int8,0,spline_component,closed,linear,zero_spline,64,1.786806751624681e-05,2.2451031327364035e-05,8.761882781982422e-05,1.786806751624681e-05,2.2451031327364035e-05,8.761882781982422e-05,0.0,0.0,0.0,0.0,2.384185791015625e-07,2.384185791015625e-07,27.71734000009019,13.377258000109578,61.549986000027275,9.944441999978153,3.5094349998689722,0.8282740000868216,17.538431685534935,12.006222577233807,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s0_L64_int8_symmetric_half_open_clip_x\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L64_int8_symmetric_half_open_clip_x\run_000,ncaa_r1_s0_L64_int8_symmetric_half_open_clip_x,symmetric,int8,0,spline_component,half_open,linear,clip_x,64,1.786806751624681e-05,2.2451031327364035e-05,8.761882781982422e-05,1.810559115256183e-05,2.2719228581991047e-05,8.188188076019287e-05,1.741656888043508e-05,2.1932186427875422e-05,8.761882781982422e-05,0.3447265625,2.384185791015625e-07,2.384185791015625e-07,29.59889000005205,13.65373599997838,58.78500399994664,9.964179999951739,2.990589000110049,0.8225720000336878,19.656664288467404,12.1134441721134,6808,76220,11.195652173913043
outputs\ncaa_r1_controlled\runs\s0_L64_int8_symmetric_half_open_zero_spline\run_000\results.json,outputs\ncaa_r1_controlled\runs\s0_L64_int8_symmetric_half_open_zero_spline\run_000,ncaa_r1_s0_L64_int8_symmetric_half_open_zero_spline,symmetric,int8,0,spline_component,half_open,linear,zero_spline,64,1.786806751624681e-05,2.2451031327364035e-05,8.761882781982422e-05,1.810559115256183e-05,2.2719228581991047e-05,8.188188076019287e-05,1.741656888043508e-05,2.1932186427875422e-05,8.761882781982422e-05,0.3447265625,2.384185791015625e-07,2.384185791015625e-07,31.93974000008893,17.228108000126667,56.401877000025706,11.332684000080917,4.165006999974139,1.021857000014279,13.541844467578544,11.090283669752772,6808,76220,11.195652173913043
