oob_policy_mode,boundary_mode,value_representation,dtype,scheme,interp,L,n__count,in_mae__mean,in_max_abs__mean,oob_mae__mean,oob_max_abs__mean,out_mae__mean,out_max_abs__mean,oob_any_frac__mean,bspline_numpy_vs_float_max_abs__mean,bspline_numba_vs_float_max_abs__mean,in_mae__std,in_max_abs__std,oob_mae__std,oob_max_abs__std,out_mae__std,out_max_abs__std,oob_any_frac__std,bspline_numpy_vs_float_max_abs__std,bspline_numba_vs_float_max_abs__std,in_mae__ci95,in_max_abs__ci95,oob_mae__ci95,oob_max_abs__ci95,out_mae__ci95,out_max_abs__ci95,oob_any_frac__ci95,bspline_numpy_vs_float_max_abs__ci95,bspline_numba_vs_float_max_abs__ci95
clip_x,closed,spline_component,int8,symmetric,linear,16,5,2.0570815104292704e-05,0.00011324957013130188,0.0,0.0,2.0570815104292704e-05,0.00011324957013130188,0.0,1.7881393432617188e-07,2.0265579223632812e-07,3.0157672693578957e-07,1.3171094675648934e-05,0.0,0.0,3.0157672693578957e-07,1.3171094675648934e-05,0.0,5.960464477539062e-08,3.264680847556389e-08,2.643436562492444e-07,1.1544973508871931e-05,0.0,0.0,2.643436562492444e-07,1.1544973508871931e-05,0.0,5.224577469706043e-08,2.8616189335912637e-08
clip_x,closed,spline_component,int8,symmetric,linear,32,5,1.796394535631407e-05,9.744055569171906e-05,0.0,0.0,1.796394535631407e-05,9.744055569171906e-05,0.0,1.7881393432617188e-07,2.0265579223632812e-07,2.962782830231975e-07,1.226175538527665e-05,0.0,0.0,2.962782830231975e-07,1.226175538527665e-05,0.0,5.960464477539062e-08,3.264680847556389e-08,2.5969936538994226e-07,1.0747902477461462e-05,0.0,0.0,2.5969936538994226e-07,1.0747902477461462e-05,0.0,5.224577469706043e-08,2.8616189335912637e-08
clip_x,closed,spline_component,int8,symmetric,linear,64,5,1.7723924247547985e-05,8.895285427570342e-05,0.0,0.0,1.7723924247547985e-05,8.895285427570342e-05,0.0,1.7881393432617188e-07,2.0265579223632812e-07,1.767866171884354e-07,2.3109678554094764e-06,0.0,0.0,1.767866171884354e-07,2.3109678554094764e-06,0.0,5.960464477539062e-08,3.264680847556389e-08,1.549603022698651e-07,2.0256526376568977e-06,0.0,0.0,1.549603022698651e-07,2.0256526376568977e-06,0.0,5.224577469706043e-08,2.8616189335912637e-08
clip_x,closed,spline_component,int8,symmetric,linear,128,5,1.775537930370774e-05,9.008347988128662e-05,0.0,0.0,1.775537930370774e-05,9.008347988128662e-05,0.0,1.7881393432617188e-07,2.0265579223632812e-07,2.840498621931775e-07,4.962149324680344e-06,0.0,0.0,2.840498621931775e-07,4.962149324680344e-06,0.0,5.960464477539062e-08,3.264680847556389e-08,2.489806819384498e-07,4.349515656160049e-06,0.0,0.0,2.489806819384498e-07,4.349515656160049e-06,0.0,5.224577469706043e-08,2.8616189335912637e-08
clip_x,closed,spline_component,uint8,asymmetric,linear,16,5,1.4336888489197008e-05,8.38160514831543e-05,0.0,0.0,1.4336888489197008e-05,8.38160514831543e-05,0.0,1.7881393432617188e-07,2.0265579223632812e-07,5.973020524872611e-07,8.91300223531691e-06,0.0,0.0,5.973020524872611e-07,8.91300223531691e-06,0.0,5.960464477539062e-08,3.264680847556389e-08,5.235583330449719e-07,7.812590921656265e-06,0.0,0.0,5.235583330449719e-07,7.812590921656265e-06,0.0,5.224577469706043e-08,2.8616189335912637e-08
clip_x,closed,spline_component,uint8,asymmetric,linear,32,5,1.0025877418229357e-05,6.0741603374481204e-05,0.0,0.0,1.0025877418229357e-05,6.0741603374481204e-05,0.0,1.7881393432617188e-07,2.0265579223632812e-07,1.5922573237787263e-07,4.075778001365565e-06,0.0,0.0,1.5922573237787263e-07,4.075778001365565e-06,0.0,5.960464477539062e-08,3.264680847556389e-08,1.3956750805473208e-07,3.5725769355226403e-06,0.0,0.0,1.3956750805473208e-07,3.5725769355226403e-06,0.0,5.224577469706043e-08,2.8616189335912637e-08
clip_x,closed,spline_component,uint8,asymmetric,linear,64,5,9.733083970786538e-06,5.723237991333008e-05,0.0,0.0,9.733083970786538e-06,5.723237991333008e-05,0.0,1.7881393432617188e-07,2.0265579223632812e-07,1.952570457144618e-07,8.13862049415067e-06,0.0,0.0,1.952570457144618e-07,8.13862049415067e-06,0.0,5.960464477539062e-08,3.264680847556389e-08,1.7115034670290167e-07,7.13381539785358e-06,0.0,0.0,1.7115034670290167e-07,7.13381539785358e-06,0.0,5.224577469706043e-08,2.8616189335912637e-08
clip_x,closed,spline_component,uint8,asymmetric,linear,128,5,9.725096424517687e-06,5.535632371902466e-05,0.0,0.0,9.725096424517687e-06,5.535632371902466e-05,0.0,1.7881393432617188e-07,2.0265579223632812e-07,1.2432671790089538e-07,3.527927210586852e-06,0.0,0.0,1.2432671790089538e-07,3.527927210586852e-06,0.0,5.960464477539062e-08,3.264680847556389e-08,1.0897717311717006e-07,3.092364544517019e-06,0.0,0.0,1.0897717311717006e-07,3.092364544517019e-06,0.0,5.224577469706043e-08,2.8616189335912637e-08
clip_x,half_open,spline_component,int8,symmetric,linear,64,5,1.8035034736385568e-05,8.776374161243439e-05,1.712710436549969e-05,8.321031928062438e-05,1.7723935889080168e-05,8.895285427570342e-05,0.3423828125,1.7881393432617188e-07,2.0265579223632812e-07,1.562617941627269e-07,3.9768303611518325e-06,2.5860640442724124e-07,5.705252355370565e-06,1.7678491500938374e-07,2.3109678554094764e-06,0.010440544735081323,5.960464477539062e-08,3.264680847556389e-08,1.3696950166130338e-07,3.48584550482805e-06,2.2667850788871666e-07,5.000874181396554e-06,1.549588102441419e-07,2.0256526376568977e-06,0.009151540957909593,5.224577469706043e-08,2.8616189335912637e-08
clip_x,half_open,spline_component,uint8,asymmetric,linear,64,5,9.926443999574985e-06,5.647540092468262e-05,9.359950126963668e-06,4.8553943634033204e-05,9.733087972563226e-06,5.723237991333008e-05,0.3423828125,1.7881393432617188e-07,2.0265579223632812e-07,2.0477202106773841e-07,9.05449260789122e-06,2.1722119638101856e-07,2.570560442596715e-06,1.9525669387915962e-07,8.13862049415067e-06,0.010440544735081323,5.960464477539062e-08,3.264680847556389e-08,1.79490590327013e-07,7.936612701421533e-06,1.904027736146212e-07,2.2531955728479345e-06,1.7115003830566187e-07,7.13381539785358e-06,0.009151540957909593,5.224577469706043e-08,2.8616189335912637e-08
