oob_policy_mode,boundary_mode,value_representation,dtype,scheme,interp,L,n__count,ms_bspline_numpy__mean,ms_lut_numpy__mean,speedup_lut_numpy_vs_bspline_numpy__mean,ms_bspline_numba__mean,ms_lut_numba__mean,speedup_lut_numba_vs_bspline_numba__mean,ms_bspline_numpy__std,ms_lut_numpy__std,speedup_lut_numpy_vs_bspline_numpy__std,ms_bspline_numba__std,ms_lut_numba__std,speedup_lut_numba_vs_bspline_numba__std,ms_bspline_numpy__ci95,ms_lut_numpy__ci95,speedup_lut_numpy_vs_bspline_numpy__ci95,ms_bspline_numba__ci95,ms_lut_numba__ci95,speedup_lut_numba_vs_bspline_numba__ci95
clip_x,closed,spline_component,int8,symmetric,linear,16,5,58.20160740002757,3.2031021999719087,18.474186141614588,9.39071360003436,0.790275000006659,11.885627925654203,3.171909971989846,0.5155160620549789,2.4487820820091324,1.3586012423382534,0.10897127378788793,0.7257891332623678,2.78030167582447,0.45186975163318965,2.1464521334027067,1.1908664950161278,0.09551753290750768,0.6361822250076807
clip_x,closed,spline_component,int8,symmetric,linear,32,5,58.07486059999792,2.8751703999878373,20.225888695734486,9.537627999990946,0.7687760000408161,12.43504142195054,10.022015966550695,0.4974863717621018,1.2193972563073334,1.0722276965714195,0.09737466178502119,0.5027556552372527,8.78468431733588,0.43606603129479826,1.0688488214185332,0.9398490146215512,0.08535265431064448,0.44068476190371453
clip_x,closed,spline_component,int8,symmetric,linear,64,5,56.203233400010504,2.751494600030128,20.511525790568644,9.532415999972727,0.788820600049803,12.09069847151573,8.482164402732748,0.4075451193722714,2.0923300945451953,1.2650170992595295,0.1052490123810457,0.38826333418819414,7.434944910729016,0.35722904759934876,1.8340081905264745,1.1088363768444114,0.09225482692950418,0.3403278176988839
clip_x,closed,spline_component,int8,symmetric,linear,128,5,60.4293654000503,3.2495492000016384,18.800155008897285,10.09293919999618,0.8810932000342291,11.467229186309208,2.18693147693012,0.3753074593600499,2.3324437780922276,0.4314794139512093,0.043248507874588775,0.5063801908474421,1.9169299582635062,0.32897149270399,2.0444771138721767,0.3782083817907766,0.03790898858494205,0.4438618074441254
clip_x,closed,spline_component,uint8,asymmetric,linear,16,5,58.48018979997141,3.1660133999830578,18.565256430374358,9.736763799999608,0.8076744000136387,12.167554218255896,6.064098786716531,0.28978447273591756,2.387165041247716,1.1689088418971536,0.13627646060816181,1.0575290136492863,5.315416946873887,0.25400728970568687,2.092442415850465,1.024593774953175,0.11945158442394548,0.926965050977658
clip_x,closed,spline_component,uint8,asymmetric,linear,32,5,61.62948479995248,2.8171891999954823,21.978712372325564,9.813717799988808,0.7597091999778058,13.024551990557006,9.111563019084215,0.437158614736567,1.8953514152300737,0.9596441722272997,0.11049590435733406,1.0523865507680865,7.986637122442644,0.38318642076423715,1.6613487654363108,0.841165204498209,0.09685393052429915,0.9224574835205981
clip_x,closed,spline_component,uint8,asymmetric,linear,64,5,55.70264239999233,3.1522466000169516,17.645517616622822,9.686892799945781,0.8022059999639168,12.082323562719033,9.186848911539496,0.33731887296411595,2.172634081242659,1.4824865318074887,0.019418542554765238,1.9051311906286195,8.052628116767128,0.29567302857622063,1.9043977383894235,1.2994567390529839,0.01702110302115958,1.6699211165338756
clip_x,closed,spline_component,uint8,asymmetric,linear,128,5,60.43977619998623,3.060704800009262,19.83359701996316,9.952882800018415,0.8204855999792926,12.142963375125502,1.774663412289332,0.22793078153624818,1.5526831609297425,0.22121874211150572,0.03571076177512987,0.4226723267977058,1.5555610666077873,0.1997901388984443,1.3609867973803946,0.19390677694126227,0.031301862816136644,0.370488629531649
clip_x,half_open,spline_component,int8,symmetric,linear,64,5,58.91108279998298,3.1728662000095937,18.73380262479327,10.048841799958609,0.8381025999842677,11.989778315889016,0.8798506967191417,0.3473589441007183,1.9301891937912952,0.4586915872748909,0.028846050757217814,0.343024735045331,0.7712231394225044,0.30447353894788826,1.6918854247271176,0.4020609033827419,0.02528467830721494,0.3006744372058841
clip_x,half_open,spline_component,uint8,asymmetric,linear,64,5,57.61326199999894,2.85858339999686,20.51056802205129,10.026084799988894,0.8248280000407249,12.173292944447265,1.3596303057510142,0.36747635931326156,3.4665586993780995,0.581362977119957,0.026928068846543248,0.9499140007994814,1.1917685088678116,0.32210723086304754,3.0385726727226534,0.5095871174852165,0.0236034930379167,0.8326363331980404
zero_spline,closed,spline_component,int8,symmetric,linear,64,5,58.47063140003593,3.0784445999597665,19.348871003585344,9.8623267999792,0.7671575999993365,13.111258573475364,4.651185424051996,0.3844109302290864,3.9354441409861747,0.34119817157816285,0.09833254852788414,2.5077806647975267,4.076943779381488,0.33695103674417703,3.449568883392154,0.2990733837353842,0.08619227906038515,2.1981666713455783
zero_spline,half_open,spline_component,int8,symmetric,linear,64,5,57.74937679999857,3.5181315999652725,16.616140920083666,10.196089800039772,0.9172691999992821,11.20943806167691,4.065403262458329,0.40611433180951173,2.4700596778861814,0.8197247229729071,0.13578909164243472,0.857717944118123,3.5634830759160465,0.35597490700468554,2.1651027685080164,0.7185203997346046,0.11902438669004956,0.7518229263992395
