L,batch,backend,representation,mean_ms,std_ms,median_ms,min_ms,max_ms,ms_per_sample,matched_speedup_vs_bspline,stack_speedup_vs_pytorch,warmup,iters
16,1,PyTorch,Float PyKAN,234.90394300000003,36.6219347062183,236.70355,162.4956,360.2898,234.90394300000003,,1.0,10,100
16,1,NumPy,B-spline,1188.8064290000002,148.54050456062043,1164.70345,769.8733,1580.7532,1188.8064290000002,1.0,0.19759646084484625,10,100
16,1,NumPy,LUT,9.756195000000002,1.4318896557124656,9.094149999999999,8.6075,16.3598,9.756195000000002,121.85144198122322,24.077413684330825,10,100
16,1,Numba,B-spline,0.7614970000000001,0.04787138588832254,0.74705,0.74,1.0936,0.7614970000000001,1.0,308.47651796395786,10,100
16,1,Numba,LUT,0.028485999999999997,0.002715723762748258,0.0279,0.0274,0.0525,0.028485999999999997,26.732324650705614,8246.294425331744,10,100
32,1,PyTorch,Float PyKAN,231.78567000000004,8.62081522564116,229.62345,224.3396,283.5344,231.78567000000004,,1.0,10,100
32,1,NumPy,B-spline,1143.562519,60.992163835236916,1118.5557,1095.1028,1438.1884,1143.562519,1.0,0.2026873617742276,10,100
32,1,NumPy,LUT,13.768014,1.0743309389888607,13.5631,12.9728,21.1951,13.768014,83.05936636903478,16.835083839978665,10,100
32,1,Numba,B-spline,1.1493160000000002,0.08524042968289904,1.1249500000000001,0.8341,1.7555,1.1493160000000002,1.0,201.67270794107102,10,100
32,1,Numba,LUT,0.04395400000000001,0.00858842796729966,0.0418,0.041,0.1004,0.04395400000000001,26.14815488920235,5273.369204167994,10,100
64,1,PyTorch,Float PyKAN,236.42104999999995,14.437060212477016,232.518,227.1981,315.8091,236.42104999999995,,1.0,10,100
64,1,NumPy,B-spline,1143.909584,250.30112754447046,1151.29225,736.3142,2702.5055,1143.909584,1.0,0.20667809178876498,10,100
64,1,NumPy,LUT,15.160427,0.769667350007571,15.1155,13.7265,18.594,15.160427,75.45365206402168,15.594616827085408,10,100
64,1,Numba,B-spline,1.2246810000000001,0.12148955618330393,1.22405,0.8091,1.6441,1.2246810000000001,1.0,193.0470465370165,10,100
64,1,Numba,LUT,0.050299,0.015917739897182117,0.04585,0.0444,0.1755,0.050299,24.348018847293186,4700.313127497563,10,100
128,1,PyTorch,Float PyKAN,245.90764100000004,18.937603224049617,238.16115,227.0103,329.0618,245.90764100000004,,1.0,10,100
128,1,NumPy,B-spline,1204.054411,102.5321106126211,1181.7151,819.4376,1643.4454,1204.054411,1.0,0.2042329970750799,10,100
128,1,NumPy,LUT,14.407615,0.8278364196213616,14.311250000000001,13.0886,19.9883,14.407615,83.57069584382981,17.067893679835283,10,100
128,1,Numba,B-spline,1.152814,0.07429861265477468,1.13225,0.8928,1.5555,1.152814,1.0,213.31076912667615,10,100
128,1,Numba,LUT,0.04493200000000001,0.004649576498581522,0.0431,0.0424,0.0721,0.04493200000000001,25.656859253983793,5472.884380842162,10,100
