L,layer,in_dim,out_dim,edges,segments_K,samples_per_segment_L,artifact_bytes,npz_bytes
16,0,78,32,2496,11,16,579120,297081
16,1,32,16,512,11,16,118832,65150
16,2,16,1,16,11,16,3760,6361
32,0,78,32,2496,11,32,1018416,420138
32,1,32,16,512,11,32,208944,90336
32,2,16,1,16,11,32,6576,7615
64,0,78,32,2496,11,64,1897008,593988
64,1,32,16,512,11,64,389168,125517
64,2,16,1,16,11,64,12208,9308
128,0,78,32,2496,11,128,3654192,857642
128,1,32,16,512,11,128,749616,178930
128,2,16,1,16,11,128,23472,11269
16,TOTAL,,,3024,,16,701712,368592
32,TOTAL,,,3024,,32,1233936,518089
64,TOTAL,,,3024,,64,2298384,728813
128,TOTAL,,,3024,,128,4427280,1047841
