results_path,run_dir,exp_name,L,dtype,value_representation,boundary_mode,oob_policy_mode,interp,seed,scheme,out_mae,out_rmse,out_max_abs,in_mae,in_rmse,in_max_abs,oob_mae,oob_rmse,oob_max_abs,oob_any_frac,bspline_numpy_vs_float_max_abs,bspline_numba_vs_float_max_abs,ms_float,ms_ref,ms_bspline_numpy,ms_bspline_numba,ms_lut_numpy,ms_lut_numba,speedup_lut_numpy_vs_bspline_numpy,speedup_lut_numba_vs_bspline_numba,model_bytes,lut_bytes,lut_over_model
outputs\ncaa_r1_oob_stress\runs\s0_L64_int8_symmetric_closed_clip_x_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s0_L64_int8_symmetric_closed_clip_x_unclipped\run_000,ncaa_r1_oob_stress_s0_L64_int8_symmetric_closed_clip_x_unclipped,64,int8,spline_component,closed,clip_x,linear,0,symmetric,1.7868445866042748e-05,2.245133146061562e-05,8.761882781982422e-05,1.8519167497288436e-05,2.3200680516310968e-05,8.094310760498047e-05,1.73840053321328e-05,2.1876810933463275e-05,8.761882781982422e-05,0.5732421875,3.5762786865234375e-07,3.5762786865234375e-07,,,,7.172078000003239,,,,,6808,76220,11.195652173913043
outputs\ncaa_r1_oob_stress\runs\s0_L64_int8_symmetric_closed_zero_spline_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s0_L64_int8_symmetric_closed_zero_spline_unclipped\run_000,ncaa_r1_oob_stress_s0_L64_int8_symmetric_closed_zero_spline_unclipped,64,int8,spline_component,closed,zero_spline,linear,0,symmetric,1.7868445866042748e-05,2.245133146061562e-05,8.761882781982422e-05,1.8519167497288436e-05,2.3200680516310968e-05,8.094310760498047e-05,1.73840053321328e-05,2.1876810933463275e-05,8.761882781982422e-05,0.5732421875,3.5762786865234375e-07,3.5762786865234375e-07,,,,7.05669900009525,,,,,6808,76220,11.195652173913043
outputs\ncaa_r1_oob_stress\runs\s0_L64_int8_symmetric_half_open_clip_x_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s0_L64_int8_symmetric_half_open_clip_x_unclipped\run_000,ncaa_r1_oob_stress_s0_L64_int8_symmetric_half_open_clip_x_unclipped,64,int8,spline_component,half_open,clip_x,linear,0,symmetric,1.7868445866042748e-05,2.245133146061562e-05,8.761882781982422e-05,1.8519167497288436e-05,2.3200680516310968e-05,8.094310760498047e-05,1.73840053321328e-05,2.1876810933463275e-05,8.761882781982422e-05,0.5732421875,3.5762786865234375e-07,3.5762786865234375e-07,,,,7.163895999983652,,,,,6808,76220,11.195652173913043
outputs\ncaa_r1_oob_stress\runs\s0_L64_int8_symmetric_half_open_zero_spline_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s0_L64_int8_symmetric_half_open_zero_spline_unclipped\run_000,ncaa_r1_oob_stress_s0_L64_int8_symmetric_half_open_zero_spline_unclipped,64,int8,spline_component,half_open,zero_spline,linear,0,symmetric,1.7868445866042748e-05,2.245133146061562e-05,8.761882781982422e-05,1.8519167497288436e-05,2.3200680516310968e-05,8.094310760498047e-05,1.73840053321328e-05,2.1876810933463275e-05,8.761882781982422e-05,0.5732421875,3.5762786865234375e-07,3.5762786865234375e-07,,,,7.071850000065751,,,,,6808,76220,11.195652173913043
outputs\ncaa_r1_oob_stress\runs\s1_L64_int8_symmetric_closed_clip_x_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s1_L64_int8_symmetric_closed_clip_x_unclipped\run_000,ncaa_r1_oob_stress_s1_L64_int8_symmetric_closed_clip_x_unclipped,64,int8,spline_component,closed,clip_x,linear,1,symmetric,1.7575002857483923e-05,2.2073527361499146e-05,8.9988112449646e-05,1.8377237211097963e-05,2.3003352907835506e-05,8.9988112449646e-05,1.6930955098359846e-05,2.1297690182109363e-05,8.511543273925781e-05,0.5546875,2.384185791015625e-07,2.384185791015625e-07,,,,6.965343000047142,,,,,6808,76220,11.195652173913043
outputs\ncaa_r1_oob_stress\runs\s1_L64_int8_symmetric_closed_zero_spline_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s1_L64_int8_symmetric_closed_zero_spline_unclipped\run_000,ncaa_r1_oob_stress_s1_L64_int8_symmetric_closed_zero_spline_unclipped,64,int8,spline_component,closed,zero_spline,linear,1,symmetric,1.7575002857483923e-05,2.2073527361499146e-05,8.9988112449646e-05,1.8377237211097963e-05,2.3003352907835506e-05,8.9988112449646e-05,1.6930955098359846e-05,2.1297690182109363e-05,8.511543273925781e-05,0.5546875,2.384185791015625e-07,2.384185791015625e-07,,,,6.948286999977427,,,,,6808,76220,11.195652173913043
outputs\ncaa_r1_oob_stress\runs\s1_L64_int8_symmetric_half_open_clip_x_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s1_L64_int8_symmetric_half_open_clip_x_unclipped\run_000,ncaa_r1_oob_stress_s1_L64_int8_symmetric_half_open_clip_x_unclipped,64,int8,spline_component,half_open,clip_x,linear,1,symmetric,1.757497557264287e-05,2.207347824878525e-05,8.9988112449646e-05,1.837719537434168e-05,2.3003301976132207e-05,8.9988112449646e-05,1.693093690846581e-05,2.129764288838487e-05,8.511543273925781e-05,0.5546875,2.384185791015625e-07,2.384185791015625e-07,,,,7.160277999937534,,,,,6808,76220,11.195652173913043
outputs\ncaa_r1_oob_stress\runs\s1_L64_int8_symmetric_half_open_zero_spline_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s1_L64_int8_symmetric_half_open_zero_spline_unclipped\run_000,ncaa_r1_oob_stress_s1_L64_int8_symmetric_half_open_zero_spline_unclipped,64,int8,spline_component,half_open,zero_spline,linear,1,symmetric,1.757497557264287e-05,2.207347824878525e-05,8.9988112449646e-05,1.837719537434168e-05,2.3003301976132207e-05,8.9988112449646e-05,1.693093690846581e-05,2.129764288838487e-05,8.511543273925781e-05,0.5546875,2.384185791015625e-07,2.384185791015625e-07,,,,7.1004639999591745,,,,,6808,76220,11.195652173913043
outputs\ncaa_r1_oob_stress\runs\s2_L64_int8_symmetric_closed_clip_x_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s2_L64_int8_symmetric_closed_clip_x_unclipped\run_000,ncaa_r1_oob_stress_s2_L64_int8_symmetric_closed_clip_x_unclipped,64,int8,spline_component,closed,clip_x,linear,2,symmetric,1.7491853213869035e-05,2.197669709858019e-05,8.729100227355957e-05,1.7980615666601807e-05,2.2624366465606727e-05,8.705258369445801e-05,1.713375786493998e-05,2.1489791834028438e-05,8.729100227355957e-05,0.5771484375,1.7881393432617188e-07,2.980232238769531e-07,,,,7.302022999938345,,,,,6808,76220,11.195652173913043
outputs\ncaa_r1_oob_stress\runs\s2_L64_int8_symmetric_closed_zero_spline_unclipped\run_000\results.json,outputs\ncaa_r1_oob_stress\runs\s2_L64_int8_symmetric_closed_zero_spline_unclipped\run_000,ncaa_r1_oob_stress_s2_L64_int8_symmetric_closed_zero_spline_unclipped,64,int8,spline_component,closed,zero_spline,linear,2,symmetric,1.749186594679486e-05,2.1976711650495417e-05,8.729100227355957e-05,1.7980599295697175e-05,2.2624359189649113e-05,8.705258369445801e-05,1.713379424472805e-05,2.14898245758377e-05,8.729100227355957e-05,0.5771484375,1.7881393432617188e-07,2.980232238769531e-07,,,,9.59616799998912,,,,,6808,76220,11.195652173913043
